20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7D9 51 161 Emulator6502=[  PC: 51161, SP: 253, A: 128, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7DA 51 162 Emulator6502=[  PC: 51162, SP: 253, A: 128, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C600 50 688 Emulator6502=[  PC: 50688, SP: 255, A: 128, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7DB 51 163 Emulator6502=[  PC: 51163, SP: 253, A: 128, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7DC 51 164 Emulator6502=[  PC: 51164, SP: 253, A: 128, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7DE 51 166 Emulator6502=[  PC: 51166, SP: 253, A: 255, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7E0 51 168 Emulator6502=[  PC: 51168, SP: 253, A: 255, X: 0, Y: 0, SR:A4, SR=[  N: 1, V: 0, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7E2 51 170 Emulator6502=[  PC: 51170, SP: 253, A: 255, X: 0, Y: 0, SR:E4, SR=[  N: 1, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 0, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7E4 51 172 Emulator6502=[  PC: 51172, SP: 253, A: 0, X: 0, Y: 0, SR:66, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 0 ]  ]
20:39:59 [main] INFO  com.jes.emu6502.Emulator6502 - C7E5 51 173 Emulator6502=[  PC: 51173, SP: 253, A: 0, X: 0, Y: 0, SR:67, SR=[  N: 0, V: 1, #: 1, B: 0, D: 0, I: 1, Z: 1, C: 1 ]  ]
